Country,Position,Name,Club,player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
Albania,GK,Etrit Berisha,Empoli,77825.0,Etrit,Berisha,Etrit Berisha,2023.0,749.0,etrit-berisha,Jugoslawien (SFR),Prishtinë,Albania,1989-03-10,Goalkeeper,Goalkeeper,left,194.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/77825-1595850441.jpg?lm=1,https://www.transfermarkt.co.uk/etrit-berisha/profil/spieler/77825,IT1,Empoli Football Club S.r.l.,500000.0,7000000.0
Albania,GK,Thomas Strakosha,Brentford,222209.0,Thomas,Strakosha,Thomas Strakosha,2023.0,1148.0,thomas-strakosha,Greece,Athens,Albania,1995-03-19,Goalkeeper,Goalkeeper,right,193.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/222209-1594713885.jpg?lm=1,https://www.transfermarkt.co.uk/thomas-strakosha/profil/spieler/222209,GB1,Brentford Football Club,3000000.0,25000000.0
Albania,GK,Simon Simoni,Eintracht Frankfurt,726120.0,Simon,Simoni,Simon Simoni,2023.0,24.0,simon-simoni,Albania,Lezhë,Albania,2004-07-14,Goalkeeper,Goalkeeper,right,195.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/726120-1696508618.jpg?lm=1,https://www.transfermarkt.co.uk/simon-simoni/profil/spieler/726120,L1,Eintracht Frankfurt Fußball AG,200000.0,250000.0
Albania,DF,Berat Gjimshiti,Atalanta,165513.0,Berat,Djimsiti,Berat Djimsiti,2023.0,800.0,berat-djimsiti,Switzerland,Zürich,Albania,1993-02-19,Centre-Back,Defender,right,190.0,2025-06-30 00:00:00,LITCHI AG,https://img.a.transfermarkt.technology/portrait/header/165513-1663582842.jpg?lm=1,https://www.transfermarkt.co.uk/berat-djimsiti/profil/spieler/165513,IT1,Atalanta Bergamasca Calcio S.p.a.,10000000.0,22000000.0
Albania,DF,Elseid Hysaj,Lazio,200056.0,Elseid,Hysaj,Elseid Hysaj,2023.0,398.0,elseid-hysaj,Albania,Shkodër,Albania,1994-02-02,Right-Back,Defender,right,182.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/200056-1661350737.jpg?lm=1,https://www.transfermarkt.co.uk/elseid-hysaj/profil/spieler/200056,IT1,Società Sportiva Lazio S.p.A.,3000000.0,25000000.0
Albania,DF,Iván Balliu,Rayo Vallecano,85295.0,Iván,Balliu,Iván Balliu,2023.0,367.0,ivan-balliu,Spain,Caldes de Malavella,Albania,1992-01-01,Right-Back,Defender,right,172.0,2025-06-30 00:00:00,Fabián Bustos,https://img.a.transfermarkt.technology/portrait/header/85295-1688119678.jpg?lm=1,https://www.transfermarkt.co.uk/ivan-balliu/profil/spieler/85295,ES1,Rayo Vallecano de Madrid S.A.D.,2500000.0,4000000.0
Albania,DF,Ardian Ismajli,Empoli,435228.0,Ardian,Ismajli,Ardian Ismajli,2023.0,749.0,ardian-ismajli,Yugoslavia (Republic),Majance,Albania,1996-09-30,Centre-Back,Defender,right,187.0,2025-06-30 00:00:00,Gol International,https://img.a.transfermarkt.technology/portrait/header/435228-1663677962.jpg?lm=1,https://www.transfermarkt.co.uk/ardian-ismajli/profil/spieler/435228,IT1,Empoli Football Club S.r.l.,3000000.0,3500000.0
Albania,DF,Arlind Ajeti,CFR Cluj,159288.0,Arlind,Ajeti,Arlind Ajeti,2017.0,4083.0,arlind-ajeti,Switzerland,Basel,Albania,1993-09-25,Centre-Back,Defender,right,184.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/159288-1666353183.jpg?lm=1,https://www.transfermarkt.co.uk/arlind-ajeti/profil/spieler/159288,IT1,FC Crotone,700000.0,2000000.0
Albania,DF,Mario Mitaj,Lokomotiv Moscow,726114.0,Mario,Mitaj,Mario Mitaj,2023.0,932.0,mario-mitaj,Greece,Athen,Albania,2003-08-06,Left-Back,Defender,left,180.0,2027-06-30 00:00:00,BSP FOOTBALL AGENCY,https://img.a.transfermarkt.technology/portrait/header/726114-1690122391.png?lm=1,https://www.transfermarkt.co.uk/mario-mitaj/profil/spieler/726114,RU1,"Футбольный клуб ""Локомотив"" Москва",1500000.0,1500000.0
Albania,DF,Enea Mihaj,Famalicão,448920.0,Enea,Mihaj,Enea Mihaj,2023.0,3329.0,enea-mihaj,Greece,Rodos,Albania,1998-07-05,Centre-Back,Defender,right,186.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/448920-1613846896.jpg?lm=1,https://www.transfermarkt.co.uk/enea-mihaj/profil/spieler/448920,PO1,Futebol Clube de Famalicão,1000000.0,1500000.0
Albania,DF,Marash Kumbulla,Sassuolo,371371.0,Marash,Kumbulla,Marash Kumbulla,2023.0,6574.0,marash-kumbulla,Italy,Peschiera del Garda,Albania,2000-02-08,Centre-Back,Defender,right,191.0,2024-06-30 00:00:00,Gianni Vitali,https://img.a.transfermarkt.technology/portrait/header/371371-1630498430.jpg?lm=1,https://www.transfermarkt.co.uk/marash-kumbulla/profil/spieler/371371,IT1,Unione Sportiva Sassuolo Calcio,7500000.0,27000000.0
Albania,MF,Amir Abrashi,Grasshoppers,66005.0,Amir,Abrashi,Amir Abrashi,2020.0,60.0,amir-abrashi,Switzerland,Bischofszell,Albania,1990-03-27,Defensive Midfield,Midfield,right,172.0,2024-06-30 00:00:00,ESHA,https://img.a.transfermarkt.technology/portrait/header/66005-1630734304.jpg?lm=1,https://www.transfermarkt.co.uk/amir-abrashi/profil/spieler/66005,L1,Sport-Club Freiburg,200000.0,2500000.0
Albania,MF,Kristjan Asllani,Inter Milan,543771.0,Kristjan,Asllani,Kristjan Asllani,2023.0,46.0,kristjan-asllani,Albania,Elbasan,Albania,2002-03-09,Defensive Midfield,Midfield,right,175.0,2027-06-30 00:00:00,BE Sport Management,https://img.a.transfermarkt.technology/portrait/header/543771-1644913890.jpg?lm=1,https://www.transfermarkt.co.uk/kristjan-asllani/profil/spieler/543771,IT1,Football Club Internazionale Milano S.p.A.,16000000.0,16000000.0
